-- [조인] 카테고리별 도서 목록 (INNER JOIN)

$ sqlite> SELECT cat.name AS category_name, b.title, b.price FROM book b INNER JOIN category cat ON cat.category_id = b.category_id ORDER BY cat.name, b.price;
category_name | title         | price
--------------+---------------+------
IT·프로그래밍      | 처음 만나는 알고리즘   | 19500
IT·프로그래밍      | 데이터로 세상 읽기    | 21000
IT·프로그래밍      | 코드로 배우는 생각의 힘 | 22000
IT·프로그래밍      | 클린 소프트웨어 설계   | 25000
경제경영          | 경영자의 질문법      | 16500
경제경영          | 돈의 흐름을 읽는 법   | 17500
경제경영          | 투자의 기본 원칙     | 18000
과학            | 생명의 설계도       | 19800
과학            | 우주는 어떻게 시작되었나 | 20500
소설            | 바람이 지나간 자리    | 13800
소설            | 고요한 아침의 도시    | 14500
소설            | 작은 불빛들        | 15200
아동청소년         | 용감한 여우와 숲의 비밀 | 12000
에세이           | 오늘도 걷는 사람     | 13500
에세이           | 느슨하게 산다는 것    | 14000
역사            | 조선의 밤과 낮      | 18500
역사            | 세계사를 바꾼 열흘    | 19000
예술            | 색으로 말하는 그림    | 23000
예술            | 건축, 공간의 언어    | 24500
인문학           | 마음을 읽는 심리학    | 14700
인문학           | 철학이 필요한 순간    | 15500
자기계발          | 나를 바꾸는 하루 10분 | 14800
자기계발          | 아주 작은 습관의 시작  | 16000

(23 rows)

